edge_id,src,dst,edge_class,cost,detection_prob,exploitability,power_gain,is_ground_truth_path_step
E_QUBO_01269,N00135,N00116,network,1.854,0.307,0.205,0,False
E_QUBO_01270,N00081,N00116,cloud,2.197,0.103,0.867,1,False
E_QUBO_01271,N00184,N00116,network,1.245,0.139,0.171,2,False
E_QUBO_01272,N00093,N00122,network,0.63,0.266,0.557,1,False
E_QUBO_01273,N00093,N00194,config,1.463,0.154,0.102,3,False
E_QUBO_01274,N00093,N00167,network,1.71,0.417,0.249,0,False
E_QUBO_01275,N00093,N00198,config,2.188,0.272,0.522,1,False
E_QUBO_01276,N00093,N00161,cloud,1.615,0.812,0.475,1,False
E_QUBO_01277,N00122,N00201,auth,2.455,0.534,0.41,4,False
E_QUBO_01278,N00122,N00032,network,2.532,0.915,0.578,1,True
E_QUBO_01279,N00194,N00201,cloud,1.183,0.276,0.628,2,False
E_QUBO_01280,N00194,N00032,auth,1.963,0.509,0.089,4,False
E_QUBO_01281,N00167,N00201,privilege,0.724,0.679,0.756,10,False
E_QUBO_01282,N00167,N00032,cloud,1.027,0.504,0.732,2,False
E_QUBO_01283,N00198,N00201,cloud,1.183,0.646,0.323,1,False
E_QUBO_01284,N00198,N00032,config,1.321,0.873,0.164,0,False
E_QUBO_01285,N00161,N00201,network,2.754,0.655,0.401,3,False
E_QUBO_01286,N00161,N00032,config,0.703,0.839,0.604,4,False
E_QUBO_01287,N00201,N00104,cloud,2.181,0.368,0.741,4,False
E_QUBO_01288,N00201,N00151,auth,2.598,0.781,0.886,0,False
E_QUBO_01289,N00201,N00077,auth,1.611,0.249,0.067,2,False
E_QUBO_01290,N00032,N00104,privilege,0.979,0.785,0.581,5,False
E_QUBO_01291,N00032,N00151,cloud,2.918,0.083,0.469,4,False
E_QUBO_01292,N00032,N00077,auth,2.961,0.625,0.144,2,False
E_QUBO_01293,N00104,N00176,cloud,0.926,0.224,0.678,4,False
E_QUBO_01294,N00104,N00070,network,1.97,0.721,0.158,4,False
E_QUBO_01295,N00104,N00135,config,2.322,0.297,0.771,0,False
E_QUBO_01296,N00104,N00081,config,2.036,0.663,0.801,0,False
E_QUBO_01297,N00104,N00184,network,2.635,0.341,0.768,3,False
E_QUBO_01298,N00151,N00176,config,1.666,0.375,0.695,1,False
E_QUBO_01299,N00151,N00070,cloud,1.831,0.335,0.383,2,False
E_QUBO_01300,N00151,N00135,config,2.519,0.941,0.242,3,False
E_QUBO_01301,N00151,N00081,auth,0.992,0.346,0.103,0,False
E_QUBO_01302,N00151,N00184,cloud,2.52,0.583,0.582,2,False
E_QUBO_01303,N00077,N00176,auth,0.77,0.265,0.34,0,False
E_QUBO_01304,N00077,N00070,config,2.485,0.899,0.709,4,False
E_QUBO_01305,N00077,N00135,network,2.063,0.571,0.123,0,False
E_QUBO_01306,N00077,N00081,cloud,1.283,0.813,0.105,1,False
E_QUBO_01307,N00077,N00184,cloud,0.637,0.6,0.417,0,False
E_QUBO_01308,N00176,N00174,config,0.631,0.815,0.391,4,False
E_QUBO_01309,N00070,N00174,auth,2.661,0.759,0.58,3,False
E_QUBO_01310,N00135,N00174,cloud,2.7,0.607,0.339,0,False
E_QUBO_01311,N00081,N00174,privilege,1.97,0.147,0.06,3,False
E_QUBO_01312,N00184,N00174,auth,2.761,0.163,0.483,2,False
E_QUBO_01313,N00093,N00122,config,1.612,0.269,0.727,0,False
E_QUBO_01314,N00093,N00194,config,1.59,0.914,0.691,2,False
E_QUBO_01315,N00093,N00167,config,2.439,0.183,0.312,2,False
E_QUBO_01316,N00093,N00198,network,1.794,0.642,0.173,1,False
E_QUBO_01317,N00093,N00161,config,2.647,0.43,0.216,1,False
E_QUBO_01318,N00122,N00201,auth,2.463,0.357,0.618,3,False
E_QUBO_01319,N00122,N00032,privilege,2.63,0.559,0.335,6,False
E_QUBO_01320,N00194,N00201,auth,0.762,0.838,0.824,3,False
E_QUBO_01321,N00194,N00032,network,2.097,0.674,0.447,1,False
E_QUBO_01322,N00167,N00201,privilege,2.518,0.388,0.39,2,False
E_QUBO_01323,N00167,N00032,network,1.395,0.549,0.171,3,False
E_QUBO_01324,N00198,N00201,config,2.782,0.374,0.879,1,False
E_QUBO_01325,N00198,N00032,auth,1.047,0.286,0.198,4,False
E_QUBO_01326,N00161,N00201,auth,0.554,0.809,0.824,0,False
E_QUBO_01327,N00161,N00032,auth,1.447,0.759,0.144,1,False
E_QUBO_01328,N00201,N00104,auth,1.424,0.385,0.196,4,False
E_QUBO_01329,N00201,N00151,config,2.704,0.841,0.106,1,False
E_QUBO_01330,N00201,N00077,auth,2.487,0.223,0.371,2,False
E_QUBO_01331,N00032,N00104,cloud,2.942,0.27,0.089,4,False
E_QUBO_01332,N00032,N00151,config,1.235,0.184,0.26,2,False
E_QUBO_01333,N00032,N00077,config,2.921,0.847,0.228,0,False
E_QUBO_01334,N00104,N00176,config,0.662,0.508,0.689,4,False
E_QUBO_01335,N00104,N00070,config,1.661,0.34,0.368,3,False
E_QUBO_01336,N00104,N00135,cloud,1.684,0.573,0.592,4,False
E_QUBO_01337,N00104,N00081,auth,1.049,0.233,0.784,3,False
E_QUBO_01338,N00104,N00184,cloud,2.722,0.564,0.845,2,False
E_QUBO_01339,N00151,N00176,network,0.836,0.126,0.428,2,False
E_QUBO_01340,N00151,N00070,network,1.663,0.609,0.412,3,False
E_QUBO_01341,N00151,N00135,privilege,2.511,0.335,0.375,4,False
E_QUBO_01342,N00151,N00081,privilege,2.113,0.373,0.12,10,False
E_QUBO_01343,N00151,N00184,network,2.465,0.884,0.134,0,False
E_QUBO_01344,N00077,N00176,config,1.001,0.227,0.33,2,False
E_QUBO_01345,N00077,N00070,privilege,0.977,0.594,0.167,10,False
E_QUBO_01346,N00077,N00135,network,2.425,0.304,0.345,3,False
E_QUBO_01347,N00077,N00081,config,2.395,0.061,0.606,1,False
E_QUBO_01348,N00077,N00184,auth,1.067,0.724,0.453,4,False
E_QUBO_01349,N00176,N00181,config,2.394,0.7,0.442,0,False
E_QUBO_01350,N00070,N00181,auth,1.572,0.898,0.405,3,False
E_QUBO_01351,N00135,N00181,config,0.575,0.175,0.793,2,False
E_QUBO_01352,N00081,N00181,network,1.75,0.643,0.351,1,False
E_QUBO_01353,N00184,N00181,cloud,2.407,0.671,0.305,4,False
E_QUBO_01354,N00093,N00122,network,2.805,0.188,0.86,2,False
E_QUBO_01355,N00093,N00194,config,2.784,0.566,0.382,3,False
E_QUBO_01356,N00093,N00167,cloud,0.659,0.398,0.454,2,False
E_QUBO_01357,N00093,N00198,cloud,2.098,0.324,0.196,4,False
E_QUBO_01358,N00093,N00161,config,1.722,0.218,0.109,3,False
E_QUBO_01359,N00122,N00201,auth,1.228,0.522,0.436,2,False
E_QUBO_01360,N00122,N00032,auth,1.317,0.869,0.382,0,False
E_QUBO_01361,N00194,N00201,cloud,1.696,0.112,0.862,1,False
E_QUBO_01362,N00194,N00032,auth,1.274,0.786,0.615,1,False
E_QUBO_01363,N00167,N00201,privilege,1.969,0.502,0.632,6,False
E_QUBO_01364,N00167,N00032,auth,1.614,0.792,0.564,1,False
E_QUBO_01365,N00198,N00201,config,2.698,0.464,0.54,0,False
E_QUBO_01366,N00198,N00032,cloud,1.367,0.808,0.723,3,False
E_QUBO_01367,N00161,N00201,auth,1.538,0.212,0.575,3,False
E_QUBO_01368,N00161,N00032,auth,2.246,0.136,0.644,0,False
E_QUBO_01369,N00201,N00104,auth,1.184,0.615,0.298,0,False
E_QUBO_01370,N00201,N00151,auth,2.772,0.42,0.698,0,False
E_QUBO_01371,N00201,N00077,network,2.388,0.504,0.713,3,False
E_QUBO_01372,N00032,N00104,privilege,1.018,0.09,0.073,9,False
E_QUBO_01373,N00032,N00151,cloud,2.639,0.407,0.059,0,False
E_QUBO_01374,N00032,N00077,auth,1.318,0.724,0.462,0,False
E_QUBO_01375,N00104,N00176,auth,2.284,0.444,0.45,2,False
E_QUBO_01376,N00104,N00070,auth,2.596,0.596,0.201,0,False
E_QUBO_01377,N00104,N00135,cloud,0.921,0.654,0.06,2,False
E_QUBO_01378,N00104,N00081,privilege,0.945,0.693,0.809,10,False
E_QUBO_01379,N00104,N00184,network,2.591,0.78,0.595,0,False
E_QUBO_01380,N00151,N00176,privilege,1.61,0.588,0.091,8,False
E_QUBO_01381,N00151,N00070,auth,1.437,0.265,0.128,3,False
E_QUBO_01382,N00151,N00135,network,1.343,0.223,0.619,1,False
E_QUBO_01383,N00151,N00081,network,2.492,0.797,0.193,1,False
E_QUBO_01384,N00151,N00184,config,0.769,0.344,0.528,1,False
E_QUBO_01385,N00077,N00176,config,1.488,0.435,0.248,0,False
E_QUBO_01386,N00077,N00070,auth,0.537,0.639,0.06,1,False
E_QUBO_01387,N00077,N00135,network,2.145,0.301,0.58,0,False
E_QUBO_01388,N00077,N00081,auth,1.528,0.741,0.475,0,False
E_QUBO_01389,N00077,N00184,config,0.929,0.913,0.56,3,False
E_QUBO_01390,N00176,N00211,auth,1.33,0.622,0.801,2,False
E_QUBO_01391,N00070,N00211,cloud,0.669,0.066,0.825,3,False
E_QUBO_01392,N00135,N00211,auth,1.759,0.684,0.061,0,False
E_QUBO_01393,N00081,N00211,network,1.272,0.714,0.694,4,False
E_QUBO_01394,N00184,N00211,auth,1.436,0.317,0.179,1,False
E_QUBO_01395,N00093,N00122,auth,2.809,0.588,0.854,2,False
E_QUBO_01396,N00093,N00194,privilege,2.109,0.734,0.493,8,False
E_QUBO_01397,N00093,N00167,privilege,2.376,0.256,0.673,7,False
E_QUBO_01398,N00093,N00198,config,0.635,0.876,0.89,1,False
E_QUBO_01399,N00093,N00161,cloud,1.804,0.215,0.585,0,False
E_QUBO_01400,N00122,N00201,network,2.884,0.097,0.893,1,False
E_QUBO_01401,N00122,N00032,auth,1.982,0.798,0.842,1,False
E_QUBO_01402,N00194,N00201,cloud,2.312,0.33,0.663,1,False
E_QUBO_01403,N00194,N00032,config,1.122,0.307,0.431,1,False
E_QUBO_01404,N00167,N00201,cloud,0.7,0.925,0.389,1,False
E_QUBO_01405,N00167,N00032,cloud,1.763,0.711,0.696,3,False
E_QUBO_01406,N00198,N00201,cloud,1.568,0.125,0.82,2,False
E_QUBO_01407,N00198,N00032,auth,1.882,0.208,0.373,2,False
E_QUBO_01408,N00161,N00201,cloud,1.905,0.483,0.333,3,False
E_QUBO_01409,N00161,N00032,auth,0.51,0.825,0.671,2,False
E_QUBO_01410,N00201,N00104,cloud,2.851,0.923,0.367,3,False
E_QUBO_01411,N00201,N00151,config,0.678,0.846,0.894,0,False
E_QUBO_01412,N00201,N00077,config,0.906,0.737,0.864,2,False
E_QUBO_01413,N00032,N00104,cloud,2.087,0.381,0.099,3,False
E_QUBO_01414,N00032,N00151,auth,1.106,0.081,0.741,0,False
E_QUBO_01415,N00032,N00077,auth,1.153,0.46,0.629,2,False
E_QUBO_01416,N00104,N00176,config,2.879,0.807,0.06,0,False
E_QUBO_01417,N00104,N00070,cloud,1.494,0.578,0.816,4,False
E_QUBO_01418,N00104,N00135,cloud,0.915,0.434,0.638,4,False
E_QUBO_01419,N00104,N00081,cloud,1.965,0.711,0.69,0,False
E_QUBO_01420,N00104,N00184,config,2.442,0.36,0.171,1,False
E_QUBO_01421,N00151,N00176,cloud,2.248,0.056,0.193,3,True
E_QUBO_01422,N00151,N00070,network,2.434,0.426,0.404,2,False
E_QUBO_01423,N00151,N00135,auth,0.941,0.218,0.164,3,False
E_QUBO_01424,N00151,N00081,network,1.627,0.783,0.208,0,False
E_QUBO_01425,N00151,N00184,auth,1.148,0.862,0.397,4,False
E_QUBO_01426,N00077,N00176,auth,0.7,0.127,0.156,0,False
E_QUBO_01427,N00077,N00070,config,1.087,0.487,0.696,0,False
E_QUBO_01428,N00077,N00135,network,2.163,0.76,0.086,1,False
E_QUBO_01429,N00077,N00081,network,1.439,0.518,0.868,2,False
E_QUBO_01430,N00077,N00184,cloud,2.392,0.594,0.336,2,False
E_QUBO_01431,N00176,N00228,auth,2.852,0.649,0.372,0,False
E_QUBO_01432,N00070,N00228,privilege,2.516,0.053,0.79,8,False
E_QUBO_01433,N00135,N00228,auth,0.564,0.161,0.501,1,False
E_QUBO_01434,N00081,N00228,config,2.215,0.833,0.488,1,True
E_QUBO_01435,N00184,N00228,privilege,0.542,0.374,0.089,7,False
E_QUBO_01436,N00093,N00122,auth,2.017,0.41,0.571,0,False
E_QUBO_01437,N00093,N00194,cloud,2.967,0.821,0.819,3,False
E_QUBO_01438,N00093,N00167,auth,2.28,0.833,0.795,4,False
E_QUBO_01439,N00093,N00198,cloud,2.492,0.321,0.622,4,False
E_QUBO_01440,N00093,N00161,cloud,0.92,0.452,0.148,4,False
E_QUBO_01441,N00122,N00201,auth,0.926,0.9,0.645,0,False
E_QUBO_01442,N00122,N00032,network,0.901,0.886,0.817,2,False
E_QUBO_01443,N00194,N00201,privilege,2.165,0.906,0.62,4,False
E_QUBO_01444,N00194,N00032,cloud,0.726,0.673,0.791,4,False
E_QUBO_01445,N00167,N00201,config,0.662,0.359,0.824,3,False
E_QUBO_01446,N00167,N00032,config,2.916,0.443,0.248,2,False
E_QUBO_01447,N00198,N00201,network,0.778,0.356,0.553,1,False
E_QUBO_01448,N00198,N00032,network,1.932,0.165,0.316,3,False
E_QUBO_01449,N00161,N00201,network,1.277,0.581,0.211,3,False
E_QUBO_01450,N00161,N00032,privilege,2.428,0.768,0.844,4,False
E_QUBO_01451,N00201,N00104,config,1.977,0.146,0.058,3,False
E_QUBO_01452,N00201,N00151,privilege,2.593,0.5,0.437,6,False
E_QUBO_01453,N00201,N00077,network,1.997,0.328,0.892,0,False
E_QUBO_01454,N00032,N00104,config,1.696,0.796,0.471,3,False
E_QUBO_01455,N00032,N00151,privilege,0.882,0.695,0.771,5,False
E_QUBO_01456,N00032,N00077,network,2.808,0.748,0.778,3,False
E_QUBO_01457,N00104,N00176,auth,2.978,0.543,0.337,3,False
E_QUBO_01458,N00104,N00070,cloud,1.478,0.525,0.291,1,False
E_QUBO_01459,N00104,N00135,config,1.484,0.168,0.689,4,False
E_QUBO_01460,N00104,N00081,network,2.625,0.689,0.439,1,False
E_QUBO_01461,N00104,N00184,cloud,2.24,0.312,0.173,1,False
E_QUBO_01462,N00151,N00176,auth,2.338,0.058,0.667,4,False
E_QUBO_01463,N00151,N00070,auth,1.441,0.934,0.628,1,False
E_QUBO_01464,N00151,N00135,network,1.389,0.476,0.853,0,False
E_QUBO_01465,N00151,N00081,privilege,1.983,0.923,0.583,8,False
E_QUBO_01466,N00151,N00184,network,1.102,0.49,0.635,1,False
E_QUBO_01467,N00077,N00176,cloud,2.44,0.942,0.62,0,False
E_QUBO_01468,N00077,N00070,cloud,1.188,0.638,0.362,0,False
E_QUBO_01469,N00077,N00135,network,1.723,0.652,0.483,0,False
E_QUBO_01470,N00077,N00081,config,1.699,0.674,0.13,4,False
E_QUBO_01471,N00077,N00184,cloud,3.0,0.682,0.304,1,False
E_QUBO_01472,N00176,N00241,network,2.284,0.826,0.507,3,False
E_QUBO_01473,N00070,N00241,network,1.484,0.786,0.716,4,False
E_QUBO_01474,N00135,N00241,config,2.593,0.535,0.746,0,False
E_QUBO_01475,N00081,N00241,auth,2.914,0.858,0.204,4,False
E_QUBO_01476,N00184,N00241,network,1.887,0.77,0.155,1,False
E_QUBO_01477,N00094,N00122,auth,0.72,0.281,0.69,0,False
E_QUBO_01478,N00094,N00194,config,1.246,0.92,0.196,0,False
E_QUBO_01479,N00094,N00167,network,2.866,0.517,0.715,4,False
E_QUBO_01480,N00094,N00198,config,1.726,0.332,0.824,2,False
E_QUBO_01481,N00094,N00161,config,1.025,0.139,0.747,1,False
E_QUBO_01482,N00122,N00201,auth,1.249,0.799,0.864,4,False
E_QUBO_01483,N00122,N00032,config,1.398,0.166,0.579,0,False
E_QUBO_01484,N00194,N00201,privilege,1.454,0.863,0.39,3,False
E_QUBO_01485,N00194,N00032,cloud,2.85,0.179,0.223,2,False
E_QUBO_01486,N00167,N00201,auth,2.286,0.557,0.601,4,False
E_QUBO_01487,N00167,N00032,cloud,2.554,0.335,0.72,3,False
E_QUBO_01488,N00198,N00201,config,1.119,0.293,0.502,4,False
E_QUBO_01489,N00198,N00032,privilege,2.1,0.377,0.333,6,False
E_QUBO_01490,N00161,N00201,auth,1.184,0.138,0.883,1,False
E_QUBO_01491,N00161,N00032,network,2.457,0.161,0.498,2,False
E_QUBO_01492,N00201,N00104,cloud,0.739,0.364,0.536,2,False
E_QUBO_01493,N00201,N00151,config,0.748,0.093,0.32,3,False
E_QUBO_01494,N00201,N00077,config,1.879,0.844,0.392,4,False
E_QUBO_01495,N00032,N00104,network,2.217,0.692,0.609,1,False
E_QUBO_01496,N00032,N00151,privilege,0.632,0.703,0.878,5,False
E_QUBO_01497,N00032,N00077,cloud,2.267,0.215,0.888,3,False
E_QUBO_01498,N00104,N00176,privilege,2.882,0.519,0.661,5,False
E_QUBO_01499,N00104,N00070,network,2.869,0.416,0.316,0,False
E_QUBO_01500,N00104,N00135,network,2.325,0.9,0.19,0,False
E_QUBO_01501,N00104,N00081,privilege,1.885,0.494,0.793,8,False
E_QUBO_01502,N00104,N00184,auth,1.699,0.514,0.898,4,False
E_QUBO_01503,N00151,N00176,cloud,0.535,0.221,0.757,0,False
E_QUBO_01504,N00151,N00070,config,2.374,0.27,0.678,4,False
E_QUBO_01505,N00151,N00135,network,2.018,0.918,0.623,4,False
E_QUBO_01506,N00151,N00081,auth,0.688,0.805,0.487,0,False
E_QUBO_01507,N00151,N00184,cloud,0.926,0.923,0.337,1,False
E_QUBO_01508,N00077,N00176,network,1.225,0.485,0.275,0,False
E_QUBO_01509,N00077,N00070,config,1.484,0.881,0.84,4,False
E_QUBO_01510,N00077,N00135,network,2.839,0.853,0.771,0,False
E_QUBO_01511,N00077,N00081,config,1.651,0.319,0.141,2,False
E_QUBO_01512,N00077,N00184,auth,1.505,0.058,0.416,1,False
E_QUBO_01513,N00176,N00028,config,2.746,0.42,0.826,0,False
E_QUBO_01514,N00070,N00028,privilege,1.065,0.406,0.304,8,False
E_QUBO_01515,N00135,N00028,config,2.529,0.148,0.423,3,False
E_QUBO_01516,N00081,N00028,privilege,2.368,0.055,0.801,5,False
E_QUBO_01517,N00184,N00028,privilege,0.601,0.405,0.682,2,False
E_QUBO_01518,N00094,N00122,auth,2.871,0.914,0.885,0,False
E_QUBO_01519,N00094,N00194,config,1.739,0.664,0.158,3,False
E_QUBO_01520,N00094,N00167,cloud,0.829,0.912,0.724,1,False
E_QUBO_01521,N00094,N00198,config,0.534,0.666,0.094,2,False
E_QUBO_01522,N00094,N00161,config,2.344,0.441,0.296,3,False
E_QUBO_01523,N00122,N00201,cloud,1.119,0.187,0.485,1,False
E_QUBO_01524,N00122,N00032,network,2.66,0.945,0.26,3,False
E_QUBO_01525,N00194,N00201,network,2.253,0.502,0.204,4,False
E_QUBO_01526,N00194,N00032,auth,1.073,0.169,0.083,1,False
E_QUBO_01527,N00167,N00201,cloud,0.544,0.23,0.785,3,False
E_QUBO_01528,N00167,N00032,privilege,2.25,0.932,0.239,8,False
E_QUBO_01529,N00198,N00201,config,1.568,0.096,0.144,2,False
E_QUBO_01530,N00198,N00032,privilege,2.279,0.272,0.811,4,False
E_QUBO_01531,N00161,N00201,network,2.151,0.339,0.293,2,False
E_QUBO_01532,N00161,N00032,network,1.577,0.277,0.468,2,False
E_QUBO_01533,N00201,N00104,network,2.172,0.665,0.705,1,False
E_QUBO_01534,N00201,N00151,privilege,2.357,0.58,0.564,5,False
E_QUBO_01535,N00201,N00077,auth,1.961,0.129,0.14,4,False
E_QUBO_01536,N00032,N00104,config,2.921,0.846,0.745,1,False
E_QUBO_01537,N00032,N00151,network,0.687,0.542,0.341,3,False
E_QUBO_01538,N00032,N00077,auth,1.834,0.188,0.159,3,False
E_QUBO_01539,N00104,N00176,privilege,2.729,0.733,0.769,10,False
E_QUBO_01540,N00104,N00070,privilege,1.621,0.696,0.824,3,False
E_QUBO_01541,N00104,N00135,config,2.828,0.503,0.069,4,False
E_QUBO_01542,N00104,N00081,auth,1.224,0.91,0.102,1,False
E_QUBO_01543,N00104,N00184,cloud,1.738,0.529,0.486,0,False
E_QUBO_01544,N00151,N00176,config,1.46,0.751,0.391,2,False
E_QUBO_01545,N00151,N00070,network,0.9,0.246,0.642,4,False
E_QUBO_01546,N00151,N00135,config,1.147,0.817,0.302,2,False
E_QUBO_01547,N00151,N00081,auth,1.06,0.53,0.298,1,False
E_QUBO_01548,N00151,N00184,privilege,2.818,0.293,0.722,5,False
E_QUBO_01549,N00077,N00176,auth,1.836,0.051,0.345,4,False
E_QUBO_01550,N00077,N00070,privilege,0.708,0.685,0.517,4,False
E_QUBO_01551,N00077,N00135,config,1.237,0.937,0.582,0,False
E_QUBO_01552,N00077,N00081,auth,2.326,0.302,0.268,0,False
E_QUBO_01553,N00077,N00184,config,0.766,0.721,0.375,2,False
E_QUBO_01554,N00176,N00100,config,1.877,0.785,0.238,2,False
E_QUBO_01555,N00070,N00100,cloud,0.889,0.259,0.667,2,False
E_QUBO_01556,N00135,N00100,cloud,0.734,0.213,0.207,1,False
E_QUBO_01557,N00081,N00100,cloud,2.858,0.212,0.29,2,False
E_QUBO_01558,N00184,N00100,auth,2.544,0.669,0.21,1,False
E_QUBO_01559,N00094,N00122,auth,1.638,0.631,0.392,4,False
E_QUBO_01560,N00094,N00194,network,2.008,0.39,0.068,0,False
E_QUBO_01561,N00094,N00167,network,0.83,0.743,0.278,4,False
E_QUBO_01562,N00094,N00198,network,2.894,0.146,0.676,2,False
E_QUBO_01563,N00094,N00161,network,1.006,0.482,0.528,3,False
E_QUBO_01564,N00122,N00201,privilege,1.329,0.189,0.097,6,False
E_QUBO_01565,N00122,N00032,network,0.553,0.09,0.513,0,False
E_QUBO_01566,N00194,N00201,cloud,0.855,0.871,0.07,3,False
E_QUBO_01567,N00194,N00032,privilege,2.138,0.253,0.797,8,False
E_QUBO_01568,N00167,N00201,network,1.73,0.942,0.241,2,False
E_QUBO_01569,N00167,N00032,config,1.334,0.374,0.836,0,False
E_QUBO_01570,N00198,N00201,config,0.878,0.436,0.335,1,False
E_QUBO_01571,N00198,N00032,auth,2.733,0.668,0.581,2,False
E_QUBO_01572,N00161,N00201,network,1.178,0.499,0.364,2,False
E_QUBO_01573,N00161,N00032,network,2.472,0.826,0.881,1,False
E_QUBO_01574,N00201,N00104,cloud,1.617,0.767,0.88,0,False
E_QUBO_01575,N00201,N00151,cloud,2.899,0.301,0.127,1,False
E_QUBO_01576,N00201,N00077,cloud,1.382,0.495,0.459,3,False
E_QUBO_01577,N00032,N00104,privilege,0.846,0.9,0.833,8,False
E_QUBO_01578,N00032,N00151,cloud,1.847,0.493,0.506,1,False
E_QUBO_01579,N00032,N00077,config,2.287,0.524,0.71,1,False
E_QUBO_01580,N00104,N00176,auth,1.404,0.233,0.773,2,False
E_QUBO_01581,N00104,N00070,auth,2.802,0.104,0.347,1,False
E_QUBO_01582,N00104,N00135,auth,2.588,0.546,0.842,3,False
E_QUBO_01583,N00104,N00081,auth,0.64,0.174,0.868,1,False
E_QUBO_01584,N00104,N00184,network,2.24,0.432,0.096,0,False
E_QUBO_01585,N00151,N00176,network,1.692,0.585,0.184,1,False
E_QUBO_01586,N00151,N00070,network,1.113,0.061,0.756,3,False
E_QUBO_01587,N00151,N00135,auth,1.674,0.176,0.498,2,False
E_QUBO_01588,N00151,N00081,privilege,1.61,0.63,0.061,3,False
E_QUBO_01589,N00151,N00184,network,2.01,0.206,0.186,3,False
E_QUBO_01590,N00077,N00176,cloud,1.885,0.797,0.831,4,False
E_QUBO_01591,N00077,N00070,auth,1.559,0.191,0.877,4,False
E_QUBO_01592,N00077,N00135,auth,2.358,0.41,0.098,3,False
E_QUBO_01593,N00077,N00081,config,2.013,0.119,0.639,3,False
E_QUBO_01594,N00077,N00184,cloud,2.568,0.198,0.733,3,False
E_QUBO_01595,N00176,N00110,network,0.761,0.376,0.712,2,False
E_QUBO_01596,N00070,N00110,privilege,0.907,0.146,0.23,2,False
E_QUBO_01597,N00135,N00110,privilege,0.969,0.232,0.84,5,False
E_QUBO_01598,N00081,N00110,config,1.912,0.557,0.722,0,False
E_QUBO_01599,N00184,N00110,network,2.859,0.058,0.353,2,False
E_QUBO_01600,N00094,N00122,config,0.987,0.727,0.667,1,False
E_QUBO_01601,N00094,N00194,network,1.328,0.857,0.478,4,False
E_QUBO_01602,N00094,N00167,auth,0.559,0.766,0.455,0,False
E_QUBO_01603,N00094,N00198,auth,2.206,0.121,0.582,1,False
E_QUBO_01604,N00094,N00161,auth,2.422,0.195,0.869,4,False
E_QUBO_01605,N00122,N00201,config,2.128,0.887,0.34,1,False
E_QUBO_01606,N00122,N00032,privilege,2.059,0.896,0.084,8,False
E_QUBO_01607,N00194,N00201,config,2.017,0.912,0.532,3,False
E_QUBO_01608,N00194,N00032,network,0.857,0.833,0.515,0,False
E_QUBO_01609,N00167,N00201,cloud,1.284,0.891,0.187,2,False
E_QUBO_01610,N00167,N00032,privilege,0.723,0.211,0.706,6,False
E_QUBO_01611,N00198,N00201,privilege,2.408,0.448,0.836,3,False
E_QUBO_01612,N00198,N00032,cloud,0.599,0.823,0.391,4,False
E_QUBO_01613,N00161,N00201,auth,1.602,0.511,0.581,2,False
E_QUBO_01614,N00161,N00032,cloud,1.765,0.287,0.794,0,False
E_QUBO_01615,N00201,N00104,network,2.353,0.27,0.748,0,False
E_QUBO_01616,N00201,N00151,network,1.227,0.192,0.389,0,False
E_QUBO_01617,N00201,N00077,cloud,2.173,0.364,0.448,4,False
E_QUBO_01618,N00032,N00104,cloud,0.773,0.212,0.142,3,False
E_QUBO_01619,N00032,N00151,auth,1.504,0.108,0.341,4,False
E_QUBO_01620,N00032,N00077,cloud,0.786,0.459,0.513,3,False
E_QUBO_01621,N00104,N00176,auth,1.3,0.078,0.561,3,False
E_QUBO_01622,N00104,N00070,privilege,2.474,0.931,0.231,5,False
E_QUBO_01623,N00104,N00135,cloud,1.175,0.622,0.121,0,False
E_QUBO_01624,N00104,N00081,network,1.246,0.691,0.791,4,False
E_QUBO_01625,N00104,N00184,privilege,0.96,0.098,0.811,8,False
E_QUBO_01626,N00151,N00176,privilege,0.911,0.364,0.406,9,False
E_QUBO_01627,N00151,N00070,auth,2.914,0.443,0.826,4,False
E_QUBO_01628,N00151,N00135,network,1.902,0.854,0.219,4,False
E_QUBO_01629,N00151,N00081,privilege,2.16,0.791,0.674,7,False
E_QUBO_01630,N00151,N00184,cloud,2.835,0.5,0.319,3,False
E_QUBO_01631,N00077,N00176,network,2.971,0.899,0.779,3,False
E_QUBO_01632,N00077,N00070,config,0.744,0.247,0.882,3,False
E_QUBO_01633,N00077,N00135,auth,2.002,0.245,0.228,1,False
E_QUBO_01634,N00077,N00081,config,2.888,0.383,0.359,2,False
E_QUBO_01635,N00077,N00184,config,2.548,0.162,0.474,3,False
E_QUBO_01636,N00176,N00116,privilege,1.381,0.538,0.495,7,False
E_QUBO_01637,N00070,N00116,auth,1.647,0.386,0.52,1,False
E_QUBO_01638,N00135,N00116,cloud,1.213,0.644,0.628,2,False
E_QUBO_01639,N00081,N00116,network,2.988,0.775,0.138,0,False
E_QUBO_01640,N00184,N00116,cloud,0.759,0.725,0.58,4,False
E_QUBO_01641,N00094,N00122,cloud,1.758,0.775,0.618,3,False
E_QUBO_01642,N00094,N00194,cloud,1.879,0.153,0.778,0,False
E_QUBO_01643,N00094,N00167,cloud,1.532,0.788,0.648,3,True
E_QUBO_01644,N00094,N00198,privilege,2.455,0.507,0.277,6,False
E_QUBO_01645,N00094,N00161,cloud,2.183,0.054,0.823,0,False
