role_id,provider,privilege_level,description,privilege_score
CR00441,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00442,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00443,AWS,read_only,Limited read-only access to cloud resources.,1
CR00444,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00445,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00446,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00447,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00448,AWS,read_only,Limited read-only access to cloud resources.,2
CR00449,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00450,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00451,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00452,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00453,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00454,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00455,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00456,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00457,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00458,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00459,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00460,GCP,system_admin,High-privilege system-level access.,8
CR00461,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00462,AWS,system_admin,High-privilege system-level access.,8
CR00463,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00464,Azure,tech_user,Basic operational access for assigned services.,3
CR00465,AWS,system_admin,High-privilege system-level access.,9
CR00466,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00467,Azure,tech_user,Basic operational access for assigned services.,3
CR00468,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00469,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR00470,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00471,Oracle,tech_user,Basic operational access for assigned services.,3
CR00472,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00473,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00474,GCP,read_only,Limited read-only access to cloud resources.,2
CR00475,AWS,system_admin,High-privilege system-level access.,9
CR00476,Azure,read_only,Limited read-only access to cloud resources.,2
CR00477,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00478,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00479,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00480,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00481,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00482,Oracle,system_admin,High-privilege system-level access.,7
CR00483,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR00484,Azure,tech_user,Basic operational access for assigned services.,3
CR00485,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00486,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00487,Azure,system_admin,High-privilege system-level access.,9
CR00488,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00489,Azure,system_admin,High-privilege system-level access.,8
CR00490,Azure,read_only,Limited read-only access to cloud resources.,1
CR00491,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00492,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00493,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00494,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00495,Oracle,tech_user,Basic operational access for assigned services.,2
CR00496,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00497,Azure,system_admin,High-privilege system-level access.,7
CR00498,GCP,system_admin,High-privilege system-level access.,7
CR00499,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00500,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00501,AWS,tech_user,Basic operational access for assigned services.,2
CR00502,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR00503,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00504,DigitalOcean,system_admin,High-privilege system-level access.,8
CR00505,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00506,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00507,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00508,GCP,tech_user,Basic operational access for assigned services.,3
CR00509,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00510,Azure,system_admin,High-privilege system-level access.,9
CR00511,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00512,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00513,GCP,tech_user,Basic operational access for assigned services.,2
CR00514,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00515,AWS,tech_user,Basic operational access for assigned services.,3
CR00516,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00517,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00518,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00519,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00520,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00521,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00522,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00523,AWS,read_only,Limited read-only access to cloud resources.,2
CR00524,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00525,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR00526,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00527,Azure,read_only,Limited read-only access to cloud resources.,2
CR00528,GCP,tech_user,Basic operational access for assigned services.,3
CR00529,GCP,system_admin,High-privilege system-level access.,8
CR00530,AWS,system_admin,High-privilege system-level access.,7
CR00531,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00532,Oracle,system_admin,High-privilege system-level access.,8
CR00533,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00534,Oracle,tech_user,Basic operational access for assigned services.,2
CR00535,GCP,read_only,Limited read-only access to cloud resources.,1
CR00536,AWS,read_only,Limited read-only access to cloud resources.,2
CR00537,Azure,system_admin,High-privilege system-level access.,7
CR00538,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00539,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00540,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00541,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00542,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00543,Oracle,tech_user,Basic operational access for assigned services.,3
CR00544,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR00545,GCP,read_only,Limited read-only access to cloud resources.,1
CR00546,Azure,system_admin,High-privilege system-level access.,8
CR00547,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00548,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00549,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00550,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00551,GCP,developer,Developer-level access to compute and storage APIs.,4
CR00552,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00553,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00554,AWS,read_only,Limited read-only access to cloud resources.,2
CR00555,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00556,AWS,read_only,Limited read-only access to cloud resources.,2
CR00557,Oracle,tech_user,Basic operational access for assigned services.,3
CR00558,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00559,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00560,Oracle,system_admin,High-privilege system-level access.,8
CR00561,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00562,Azure,tech_user,Basic operational access for assigned services.,3
CR00563,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00564,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00565,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00566,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00567,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00568,AWS,read_only,Limited read-only access to cloud resources.,1
CR00569,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00570,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00571,Azure,system_admin,High-privilege system-level access.,7
CR00572,Azure,system_admin,High-privilege system-level access.,8
CR00573,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR00574,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00575,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00576,Azure,system_admin,High-privilege system-level access.,8
CR00577,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00578,GCP,tech_user,Basic operational access for assigned services.,2
CR00579,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00580,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR00581,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00582,AWS,system_admin,High-privilege system-level access.,8
CR00583,DigitalOcean,system_admin,High-privilege system-level access.,8
CR00584,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00585,GCP,system_admin,High-privilege system-level access.,8
CR00586,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00587,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00588,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00589,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00590,Azure,read_only,Limited read-only access to cloud resources.,2
CR00591,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00592,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00593,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00594,GCP,system_admin,High-privilege system-level access.,8
CR00595,Azure,tech_user,Basic operational access for assigned services.,2
CR00596,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00597,AWS,tech_user,Basic operational access for assigned services.,3
CR00598,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00599,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00600,Oracle,system_admin,High-privilege system-level access.,7
CR00601,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00602,Oracle,tech_user,Basic operational access for assigned services.,3
CR00603,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00604,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00605,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00606,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00607,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR00608,GCP,developer,Developer-level access to compute and storage APIs.,5
CR00609,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00610,Oracle,tech_user,Basic operational access for assigned services.,2
CR00611,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00612,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00613,GCP,system_admin,High-privilege system-level access.,8
CR00614,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00615,Azure,read_only,Limited read-only access to cloud resources.,2
CR00616,Oracle,tech_user,Basic operational access for assigned services.,3
CR00617,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR00618,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00619,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00620,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00621,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00622,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00623,Oracle,system_admin,High-privilege system-level access.,8
CR00624,Azure,tech_user,Basic operational access for assigned services.,3
CR00625,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00626,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00627,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00628,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00629,Oracle,system_admin,High-privilege system-level access.,8
CR00630,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00631,GCP,developer,Developer-level access to compute and storage APIs.,4
CR00632,AWS,tech_user,Basic operational access for assigned services.,3
CR00633,Oracle,system_admin,High-privilege system-level access.,9
CR00634,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00635,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00636,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00637,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00638,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00639,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00640,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR00641,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00642,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00643,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00644,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00645,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00646,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00647,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00648,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00649,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00650,AWS,system_admin,High-privilege system-level access.,8
CR00651,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00652,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00653,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00654,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00655,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00656,Azure,system_admin,High-privilege system-level access.,7
CR00657,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00658,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00659,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00660,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00661,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00662,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00663,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00664,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00665,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00666,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00667,GCP,system_admin,High-privilege system-level access.,7
CR00668,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00669,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR00670,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00671,GCP,read_only,Limited read-only access to cloud resources.,1
CR00672,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00673,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00674,Oracle,system_admin,High-privilege system-level access.,8
CR00675,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00676,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00677,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00678,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR00679,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00680,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00681,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00682,Oracle,tech_user,Basic operational access for assigned services.,2
CR00683,Oracle,system_admin,High-privilege system-level access.,9
CR00684,Azure,read_only,Limited read-only access to cloud resources.,2
CR00685,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR00686,GCP,developer,Developer-level access to compute and storage APIs.,5
CR00687,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00688,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00689,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00690,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00691,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00692,Oracle,tech_user,Basic operational access for assigned services.,2
CR00693,GCP,system_admin,High-privilege system-level access.,7
CR00694,GCP,read_only,Limited read-only access to cloud resources.,2
CR00695,AWS,system_admin,High-privilege system-level access.,7
CR00696,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR00697,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR00698,AWS,read_only,Limited read-only access to cloud resources.,1
CR00699,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR00700,Azure,tech_user,Basic operational access for assigned services.,3
CR00701,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR00702,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00703,GCP,tech_user,Basic operational access for assigned services.,3
CR00704,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00705,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00706,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00707,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00708,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00709,Azure,system_admin,High-privilege system-level access.,8
CR00710,Oracle,system_admin,High-privilege system-level access.,9
CR00711,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00712,AWS,system_admin,High-privilege system-level access.,8
CR00713,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00714,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00715,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00716,Azure,system_admin,High-privilege system-level access.,7
CR00717,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00718,Azure,read_only,Limited read-only access to cloud resources.,1
CR00719,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00720,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00721,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00722,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00723,AWS,read_only,Limited read-only access to cloud resources.,2
CR00724,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00725,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00726,Oracle,tech_user,Basic operational access for assigned services.,3
CR00727,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00728,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00729,AWS,system_admin,High-privilege system-level access.,8
CR00730,AWS,read_only,Limited read-only access to cloud resources.,2
CR00731,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00732,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00733,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00734,Oracle,tech_user,Basic operational access for assigned services.,2
CR00735,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00736,GCP,read_only,Limited read-only access to cloud resources.,2
CR00737,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00738,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00739,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00740,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00741,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00742,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00743,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00744,Azure,read_only,Limited read-only access to cloud resources.,1
CR00745,Azure,system_admin,High-privilege system-level access.,9
CR00746,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00747,Oracle,system_admin,High-privilege system-level access.,7
CR00748,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00749,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00750,Oracle,system_admin,High-privilege system-level access.,8
CR00751,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00752,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00753,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00754,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00755,Oracle,tech_user,Basic operational access for assigned services.,3
CR00756,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00757,Oracle,system_admin,High-privilege system-level access.,7
CR00758,GCP,system_admin,High-privilege system-level access.,7
CR00759,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00760,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00761,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00762,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00763,Azure,read_only,Limited read-only access to cloud resources.,1
CR00764,GCP,tech_user,Basic operational access for assigned services.,2
CR00765,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00766,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00767,GCP,tech_user,Basic operational access for assigned services.,2
CR00768,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00769,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00770,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00771,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00772,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00773,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00774,Oracle,tech_user,Basic operational access for assigned services.,2
CR00775,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00776,AWS,read_only,Limited read-only access to cloud resources.,2
CR00777,GCP,tech_user,Basic operational access for assigned services.,3
CR00778,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00779,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR00780,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00781,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00782,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00783,GCP,system_admin,High-privilege system-level access.,8
CR00784,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00785,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR00786,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00787,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00788,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00789,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00790,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00791,Azure,tech_user,Basic operational access for assigned services.,3
CR00792,GCP,read_only,Limited read-only access to cloud resources.,2
CR00793,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00794,Azure,read_only,Limited read-only access to cloud resources.,2
CR00795,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00796,AWS,read_only,Limited read-only access to cloud resources.,2
CR00797,Oracle,system_admin,High-privilege system-level access.,9
CR00798,GCP,developer,Developer-level access to compute and storage APIs.,5
CR00799,AWS,read_only,Limited read-only access to cloud resources.,1
CR00800,AWS,tech_user,Basic operational access for assigned services.,2
CR00801,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00802,Azure,system_admin,High-privilege system-level access.,7
CR00803,GCP,read_only,Limited read-only access to cloud resources.,2
CR00804,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00805,Azure,system_admin,High-privilege system-level access.,9
CR00806,AWS,tech_user,Basic operational access for assigned services.,3
CR00807,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00808,GCP,tech_user,Basic operational access for assigned services.,3
CR00809,GCP,read_only,Limited read-only access to cloud resources.,2
CR00810,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00811,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR00812,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00813,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00814,AWS,tech_user,Basic operational access for assigned services.,3
CR00815,Azure,read_only,Limited read-only access to cloud resources.,2
CR00816,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00817,Oracle,system_admin,High-privilege system-level access.,7
CR00818,GCP,read_only,Limited read-only access to cloud resources.,2
CR00819,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00820,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00821,AWS,read_only,Limited read-only access to cloud resources.,1
CR00822,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00823,GCP,developer,Developer-level access to compute and storage APIs.,5
CR00824,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00825,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00826,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00827,GCP,tech_user,Basic operational access for assigned services.,2
CR00828,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00829,GCP,read_only,Limited read-only access to cloud resources.,2
CR00830,GCP,system_admin,High-privilege system-level access.,8
CR00831,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00832,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00833,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR00834,AWS,system_admin,High-privilege system-level access.,9
CR00835,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR00836,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00837,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00838,AWS,system_admin,High-privilege system-level access.,9
CR00839,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00840,DigitalOcean,system_admin,High-privilege system-level access.,8
CR00841,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00842,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR00843,AWS,tech_user,Basic operational access for assigned services.,3
CR00844,AWS,read_only,Limited read-only access to cloud resources.,2
CR00845,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00846,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00847,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00848,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00849,AWS,system_admin,High-privilege system-level access.,9
CR00850,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00851,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00852,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00853,Azure,system_admin,High-privilege system-level access.,9
CR00854,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00855,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00856,AWS,read_only,Limited read-only access to cloud resources.,2
CR00857,AWS,read_only,Limited read-only access to cloud resources.,2
CR00858,GCP,system_admin,High-privilege system-level access.,9
CR00859,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00860,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00861,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00862,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00863,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00864,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00865,Oracle,tech_user,Basic operational access for assigned services.,2
CR00866,Azure,read_only,Limited read-only access to cloud resources.,1
CR00867,Azure,system_admin,High-privilege system-level access.,7
CR00868,GCP,tech_user,Basic operational access for assigned services.,2
CR00869,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00870,AWS,tech_user,Basic operational access for assigned services.,2
CR00871,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00872,AWS,developer,Developer-level access to compute and storage APIs.,5
CR00873,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00874,AWS,tech_user,Basic operational access for assigned services.,2
CR00875,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00876,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00877,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00878,GCP,tenant_admin,Full administrative access within a specific tenant.,8
