asset,control_type,config,status,misconfig_prob,is_misconfigured,config_source,config_drift_score
N00486,Firewall,moderate,disabled,0.006,False,manual,0.32
N00487,WAF,moderate,enabled,0.127,False,auto,0.55
N00488,Hardening,moderate,enabled,0.057,False,auto,0.01
N00488,NetworkIsolation,baseline,enabled,0.319,True,manual,0.99
N00488,Hardening,moderate,partial,0.022,False,auto,0.36
N00489,CloudPolicy,moderate,disabled,0.075,False,auto,0.17
N00489,Hardening,moderate,enabled,0.29,True,manual,0.92
N00490,EDR,baseline,partial,0.095,False,manual,0.37
N00490,EDR,moderate,disabled,0.001,False,manual,0.07
N00491,NetworkIsolation,baseline,partial,0.143,False,inherited,1.0
N00491,Logging,baseline,disabled,0.297,True,manual,0.3
N00492,Firewall,baseline,enabled,0.319,True,inherited,0.21
N00493,WAF,baseline,disabled,0.04,False,inherited,0.6
N00493,Logging,baseline,disabled,0.2,False,inherited,0.37
N00493,NetworkIsolation,strict,disabled,0.275,True,policy_engine,0.04
N00494,Firewall,baseline,enabled,0.323,True,manual,0.65
N00494,IAMPolicy,legacy,partial,0.222,False,inherited,0.35
N00495,EDR,legacy,partial,0.076,False,manual,0.47
N00495,Hardening,legacy,partial,0.185,False,manual,0.81
N00496,Hardening,legacy,disabled,0.112,False,policy_engine,0.97
N00497,Logging,strict,partial,0.271,True,inherited,0.42
N00497,IAMPolicy,legacy,enabled,0.302,True,auto,0.41
N00497,CloudPolicy,moderate,disabled,0.258,True,inherited,0.79
N00498,Firewall,strict,partial,0.172,False,policy_engine,0.71
N00499,WAF,legacy,enabled,0.02,False,policy_engine,0.96
N00499,EDR,strict,partial,0.254,True,inherited,0.43
N00500,NetworkIsolation,legacy,partial,0.037,False,policy_engine,0.12
N00500,Logging,moderate,disabled,0.235,False,manual,0.44
N00501,IAMPolicy,legacy,enabled,0.151,False,manual,0.06
N00501,CloudPolicy,baseline,enabled,0.336,True,policy_engine,0.91
N00501,CloudPolicy,strict,enabled,0.037,False,manual,0.51
N00502,Firewall,moderate,enabled,0.126,False,inherited,0.4
N00502,EDR,strict,disabled,0.244,False,inherited,0.27
N00503,NetworkIsolation,moderate,disabled,0.114,False,inherited,0.07
N00504,CloudPolicy,legacy,enabled,0.343,True,auto,0.76
N00505,EDR,moderate,partial,0.195,False,manual,0.55
N00506,IAMPolicy,legacy,enabled,0.322,True,policy_engine,0.86
N00506,IAMPolicy,baseline,enabled,0.067,False,policy_engine,0.11
N00506,Firewall,moderate,disabled,0.14,False,policy_engine,0.12
N00507,IAMPolicy,strict,partial,0.055,False,auto,0.23
N00508,NetworkIsolation,strict,enabled,0.022,False,inherited,0.72
N00508,Logging,moderate,disabled,0.036,False,policy_engine,0.81
N00509,Hardening,strict,disabled,0.339,True,auto,0.68
N00509,Logging,baseline,enabled,0.21,False,inherited,0.91
N00510,CloudPolicy,moderate,disabled,0.245,False,inherited,0.95
N00510,Logging,moderate,disabled,0.213,False,auto,0.17
N00511,WAF,moderate,disabled,0.18,False,manual,0.98
N00511,Firewall,legacy,enabled,0.123,False,policy_engine,0.89
N00512,CloudPolicy,strict,enabled,0.293,True,policy_engine,0.4
N00512,CloudPolicy,strict,enabled,0.011,False,manual,0.37
N00513,Firewall,strict,disabled,0.0,False,auto,0.51
N00513,EDR,baseline,disabled,0.167,False,policy_engine,0.74
N00514,NetworkIsolation,legacy,partial,0.127,False,manual,0.38
N00514,Logging,legacy,partial,0.198,False,policy_engine,0.1
N00514,NetworkIsolation,moderate,disabled,0.348,True,manual,0.66
N00515,NetworkIsolation,legacy,enabled,0.194,False,inherited,0.43
N00515,WAF,legacy,enabled,0.025,False,manual,0.99
N00516,EDR,legacy,enabled,0.329,True,auto,0.6
N00516,EDR,moderate,partial,0.277,True,manual,0.41
N00517,NetworkIsolation,moderate,enabled,0.26,True,manual,0.11
N00517,EDR,moderate,enabled,0.31,True,manual,0.58
N00517,WAF,legacy,partial,0.205,False,policy_engine,0.66
N00518,WAF,moderate,partial,0.321,True,inherited,0.77
N00519,Logging,legacy,partial,0.062,False,auto,0.12
N00520,WAF,legacy,disabled,0.034,False,auto,0.48
N00520,EDR,baseline,enabled,0.083,False,manual,0.53
N00521,NetworkIsolation,moderate,disabled,0.098,False,policy_engine,0.01
N00521,IAMPolicy,moderate,partial,0.337,True,manual,0.59
N00522,CloudPolicy,strict,disabled,0.169,False,manual,0.27
N00522,IAMPolicy,legacy,enabled,0.188,False,manual,0.91
N00523,Firewall,strict,disabled,0.197,False,inherited,0.35
N00523,Firewall,legacy,partial,0.195,False,auto,0.45
N00523,NetworkIsolation,strict,partial,0.202,False,inherited,0.34
N00524,IAMPolicy,baseline,partial,0.225,False,auto,0.54
N00524,EDR,legacy,enabled,0.18,False,auto,0.73
N00525,Logging,baseline,enabled,0.203,False,auto,0.97
N00525,NetworkIsolation,legacy,disabled,0.299,True,inherited,0.54
N00526,Logging,moderate,enabled,0.151,False,inherited,0.98
N00526,NetworkIsolation,strict,partial,0.16,False,auto,0.06
N00527,Logging,moderate,partial,0.161,False,policy_engine,0.95
N00527,CloudPolicy,moderate,disabled,0.323,True,auto,0.42
N00528,Firewall,strict,partial,0.32,True,auto,0.39
N00528,NetworkIsolation,moderate,enabled,0.343,True,inherited,0.36
N00529,WAF,moderate,enabled,0.3,True,inherited,0.25
N00529,NetworkIsolation,legacy,partial,0.205,False,auto,0.07
N00530,EDR,legacy,enabled,0.122,False,policy_engine,0.5
N00530,NetworkIsolation,baseline,disabled,0.052,False,manual,0.22
N00530,Hardening,legacy,enabled,0.082,False,inherited,0.02
N00531,Hardening,baseline,partial,0.153,False,policy_engine,0.33
N00531,WAF,strict,enabled,0.1,False,auto,0.15
N00531,IAMPolicy,legacy,disabled,0.339,True,manual,0.49
N00532,WAF,legacy,partial,0.07,False,policy_engine,0.12
N00532,WAF,baseline,enabled,0.333,True,manual,0.98
N00533,EDR,baseline,enabled,0.183,False,auto,0.98
N00534,EDR,legacy,enabled,0.065,False,inherited,0.02
N00534,Firewall,baseline,disabled,0.056,False,manual,0.43
N00535,NetworkIsolation,moderate,partial,0.335,True,policy_engine,1.0
N00536,Logging,legacy,partial,0.046,False,policy_engine,0.83
N00536,Hardening,strict,disabled,0.222,False,manual,0.04
N00536,Firewall,baseline,partial,0.135,False,policy_engine,0.26
N00537,Logging,legacy,disabled,0.168,False,auto,0.08
N00538,Firewall,strict,disabled,0.023,False,auto,0.24
N00538,Hardening,legacy,partial,0.069,False,manual,0.23
N00539,NetworkIsolation,baseline,partial,0.129,False,inherited,0.19
N00539,IAMPolicy,strict,enabled,0.01,False,inherited,0.25
N00540,EDR,strict,partial,0.327,True,policy_engine,0.22
N00541,Logging,strict,disabled,0.006,False,auto,0.72
N00542,CloudPolicy,strict,enabled,0.09,False,auto,0.55
N00542,Hardening,baseline,enabled,0.078,False,policy_engine,0.85
N00543,CloudPolicy,baseline,disabled,0.121,False,policy_engine,0.33
N00543,EDR,moderate,disabled,0.156,False,manual,0.56
N00543,IAMPolicy,strict,partial,0.266,True,manual,0.41
N00544,Hardening,moderate,partial,0.088,False,auto,0.72
N00545,NetworkIsolation,baseline,disabled,0.202,False,manual,0.42
N00545,NetworkIsolation,legacy,enabled,0.317,True,inherited,0.48
N00546,Hardening,moderate,disabled,0.08,False,auto,0.4
N00546,Hardening,moderate,partial,0.279,True,manual,0.31
N00547,Hardening,baseline,partial,0.078,False,auto,0.82
N00548,Logging,strict,enabled,0.18,False,policy_engine,0.36
N00549,CloudPolicy,legacy,disabled,0.076,False,manual,0.8
N00549,Logging,strict,disabled,0.21,False,policy_engine,0.92
N00549,WAF,strict,disabled,0.271,True,policy_engine,0.69
N00550,Logging,legacy,enabled,0.11,False,manual,0.74
N00550,Hardening,baseline,disabled,0.208,False,policy_engine,0.09
N00551,EDR,strict,disabled,0.315,True,auto,0.86
N00552,WAF,legacy,partial,0.163,False,auto,0.16
N00553,NetworkIsolation,strict,enabled,0.163,False,auto,0.73
N00553,CloudPolicy,moderate,disabled,0.241,False,inherited,0.4
N00554,Hardening,baseline,partial,0.302,True,auto,0.99
N00554,Firewall,moderate,enabled,0.283,True,inherited,0.58
N00555,IAMPolicy,baseline,enabled,0.324,True,policy_engine,0.46
N00555,EDR,legacy,partial,0.142,False,inherited,0.57
N00556,EDR,strict,enabled,0.279,True,inherited,0.76
N00556,CloudPolicy,strict,enabled,0.213,False,manual,0.4
N00556,EDR,strict,disabled,0.055,False,policy_engine,0.53
N00557,Hardening,strict,disabled,0.323,True,inherited,0.06
N00557,Hardening,baseline,partial,0.138,False,auto,0.46
N00558,WAF,legacy,partial,0.031,False,auto,0.95
N00559,Firewall,strict,disabled,0.081,False,inherited,0.01
N00559,CloudPolicy,baseline,enabled,0.325,True,auto,0.59
N00560,Firewall,strict,enabled,0.032,False,inherited,0.32
N00560,EDR,baseline,enabled,0.13,False,auto,0.28
N00560,Logging,legacy,partial,0.16,False,manual,0.24
N00561,Hardening,baseline,enabled,0.314,True,inherited,0.44
N00562,WAF,strict,partial,0.318,True,auto,0.61
N00562,EDR,strict,partial,0.345,True,policy_engine,0.08
N00563,Hardening,legacy,disabled,0.242,False,policy_engine,0.11
N00563,IAMPolicy,baseline,enabled,0.136,False,inherited,0.75
N00563,EDR,strict,partial,0.314,True,manual,0.39
N00564,IAMPolicy,moderate,disabled,0.108,False,manual,0.12
N00565,Logging,strict,partial,0.002,False,manual,0.79
N00565,Logging,baseline,enabled,0.256,True,inherited,0.15
N00566,IAMPolicy,moderate,enabled,0.28,True,policy_engine,0.97
N00566,CloudPolicy,strict,disabled,0.302,True,inherited,0.91
N00566,IAMPolicy,baseline,disabled,0.249,False,manual,0.82
N00567,Hardening,strict,enabled,0.073,False,auto,0.95
N00567,Firewall,strict,enabled,0.181,False,auto,0.36
N00568,IAMPolicy,baseline,partial,0.165,False,policy_engine,0.25
N00568,EDR,strict,disabled,0.215,False,manual,0.14
N00568,CloudPolicy,strict,partial,0.161,False,inherited,0.87
N00569,EDR,legacy,enabled,0.122,False,policy_engine,0.55
N00570,WAF,baseline,partial,0.214,False,manual,0.27
N00570,IAMPolicy,legacy,partial,0.208,False,auto,0.69
N00571,IAMPolicy,moderate,partial,0.21,False,policy_engine,0.9
N00571,EDR,baseline,partial,0.312,True,manual,0.44
N00572,CloudPolicy,moderate,partial,0.334,True,policy_engine,0.44
N00572,Logging,legacy,enabled,0.166,False,manual,0.86
N00573,IAMPolicy,legacy,partial,0.304,True,auto,0.76
N00574,CloudPolicy,strict,partial,0.321,True,auto,0.93
N00574,Firewall,legacy,disabled,0.022,False,policy_engine,0.57
N00575,WAF,legacy,enabled,0.107,False,inherited,0.41
N00575,EDR,legacy,partial,0.201,False,auto,0.64
N00575,IAMPolicy,strict,enabled,0.329,True,policy_engine,0.41
N00576,EDR,legacy,enabled,0.234,False,auto,0.1
N00576,IAMPolicy,legacy,partial,0.337,True,manual,0.68
N00577,NetworkIsolation,legacy,disabled,0.198,False,manual,0.96
N00577,IAMPolicy,strict,partial,0.345,True,manual,0.57
N00577,Logging,baseline,disabled,0.029,False,auto,0.42
N00578,Logging,baseline,enabled,0.146,False,inherited,0.84
N00578,Firewall,baseline,partial,0.174,False,policy_engine,0.94
N00579,CloudPolicy,moderate,disabled,0.302,True,manual,0.18
N00579,Hardening,legacy,enabled,0.24,False,policy_engine,0.41
N00580,Hardening,baseline,disabled,0.297,True,manual,0.5
N00580,IAMPolicy,baseline,enabled,0.305,True,auto,0.11
N00580,EDR,legacy,partial,0.311,True,inherited,0.1
N00581,WAF,moderate,disabled,0.016,False,auto,0.33
N00582,IAMPolicy,baseline,disabled,0.195,False,auto,0.03
N00582,CloudPolicy,legacy,enabled,0.101,False,policy_engine,0.13
N00583,NetworkIsolation,moderate,disabled,0.295,True,inherited,0.16
N00583,IAMPolicy,moderate,disabled,0.064,False,manual,0.23
N00584,WAF,baseline,disabled,0.266,True,policy_engine,0.01
N00584,Hardening,legacy,disabled,0.281,True,manual,0.56
N00585,WAF,legacy,enabled,0.32,True,auto,0.18
N00585,WAF,moderate,enabled,0.068,False,policy_engine,0.74
N00586,NetworkIsolation,moderate,disabled,0.153,False,manual,0.39
N00587,Hardening,moderate,disabled,0.198,False,auto,0.08
N00587,CloudPolicy,strict,enabled,0.023,False,manual,0.54
N00588,EDR,strict,partial,0.304,True,policy_engine,0.38
N00588,Firewall,strict,enabled,0.313,True,policy_engine,0.7
N00588,IAMPolicy,baseline,enabled,0.196,False,inherited,0.42
N00589,WAF,strict,disabled,0.154,False,manual,0.83
N00589,Firewall,baseline,disabled,0.274,True,manual,0.68
N00589,CloudPolicy,legacy,disabled,0.345,True,manual,0.96
N00590,IAMPolicy,moderate,disabled,0.073,False,policy_engine,0.01
N00590,Logging,strict,disabled,0.298,True,policy_engine,0.61
N00591,CloudPolicy,baseline,enabled,0.028,False,auto,0.52
N00591,CloudPolicy,baseline,disabled,0.135,False,inherited,0.33
N00592,NetworkIsolation,legacy,disabled,0.328,True,manual,0.06
N00592,IAMPolicy,baseline,disabled,0.322,True,policy_engine,0.64
N00593,WAF,baseline,partial,0.106,False,inherited,0.42
N00593,EDR,moderate,enabled,0.154,False,inherited,0.06
N00593,IAMPolicy,legacy,partial,0.076,False,inherited,0.86
N00594,IAMPolicy,moderate,enabled,0.291,True,policy_engine,0.14
N00594,Firewall,strict,enabled,0.111,False,auto,0.1
N00594,EDR,strict,partial,0.18,False,manual,0.69
N00595,NetworkIsolation,legacy,partial,0.094,False,manual,0.72
N00595,CloudPolicy,baseline,partial,0.164,False,policy_engine,0.72
N00596,IAMPolicy,strict,partial,0.073,False,manual,0.92
N00596,IAMPolicy,baseline,partial,0.175,False,inherited,0.37
N00597,WAF,legacy,enabled,0.176,False,inherited,0.65
N00598,Hardening,moderate,enabled,0.083,False,inherited,0.49
N00598,IAMPolicy,legacy,enabled,0.097,False,inherited,0.76
N00599,Firewall,strict,partial,0.021,False,auto,0.4
N00599,NetworkIsolation,baseline,partial,0.024,False,auto,0.41
N00599,Firewall,strict,disabled,0.247,False,auto,0.66
N00600,Logging,baseline,disabled,0.091,False,manual,0.13
N00601,NetworkIsolation,legacy,partial,0.001,False,auto,0.53
N00601,Hardening,legacy,partial,0.027,False,policy_engine,0.44
N00601,NetworkIsolation,strict,enabled,0.02,False,inherited,0.16
N00602,WAF,legacy,disabled,0.152,False,auto,0.83
N00603,IAMPolicy,strict,disabled,0.073,False,auto,0.77
N00604,CloudPolicy,legacy,partial,0.095,False,inherited,0.95
N00604,Logging,baseline,enabled,0.171,False,manual,0.71
N00604,Logging,strict,enabled,0.02,False,manual,0.76
N00605,WAF,moderate,enabled,0.214,False,manual,0.83
N00605,NetworkIsolation,baseline,partial,0.029,False,inherited,0.65
N00606,WAF,legacy,partial,0.318,True,inherited,0.03
N00607,WAF,baseline,disabled,0.166,False,manual,0.88
N00607,Logging,legacy,enabled,0.314,True,policy_engine,0.91
N00608,Hardening,strict,disabled,0.077,False,policy_engine,0.94
N00608,EDR,baseline,enabled,0.3,True,inherited,0.29
N00609,CloudPolicy,moderate,disabled,0.227,False,inherited,0.61
N00610,WAF,legacy,partial,0.018,False,manual,0.89
N00610,WAF,moderate,partial,0.028,False,policy_engine,0.49
N00611,CloudPolicy,moderate,partial,0.347,True,policy_engine,0.59
N00612,Logging,moderate,enabled,0.15,False,policy_engine,0.46
N00613,EDR,strict,partial,0.03,False,inherited,0.62
N00613,IAMPolicy,legacy,partial,0.327,True,manual,0.82
N00613,CloudPolicy,strict,partial,0.194,False,manual,0.59
N00614,Logging,baseline,disabled,0.035,False,inherited,0.02
N00615,IAMPolicy,baseline,disabled,0.345,True,inherited,0.1
N00615,Firewall,strict,disabled,0.219,False,manual,0.77
N00616,Hardening,moderate,partial,0.109,False,auto,0.32
N00616,Firewall,moderate,partial,0.031,False,auto,0.24
N00617,Firewall,moderate,partial,0.164,False,inherited,0.14
N00617,IAMPolicy,moderate,enabled,0.303,True,inherited,0.29
N00618,EDR,strict,enabled,0.345,True,auto,0.5
N00618,CloudPolicy,strict,enabled,0.335,True,auto,0.15
N00619,Firewall,strict,disabled,0.271,True,inherited,0.1
N00619,Firewall,strict,enabled,0.305,True,inherited,0.63
N00620,EDR,strict,partial,0.109,False,inherited,0.39
N00620,Logging,strict,enabled,0.248,False,inherited,0.25
N00621,EDR,strict,enabled,0.056,False,policy_engine,0.02
N00621,Firewall,strict,partial,0.045,False,manual,0.35
N00622,NetworkIsolation,baseline,disabled,0.018,False,inherited,0.52
N00622,Logging,strict,disabled,0.15,False,policy_engine,0.96
N00623,WAF,legacy,enabled,0.256,True,policy_engine,0.57
N00623,CloudPolicy,legacy,partial,0.226,False,auto,0.47
N00624,EDR,legacy,disabled,0.175,False,policy_engine,0.26
N00624,Hardening,strict,enabled,0.245,False,inherited,0.82
N00625,CloudPolicy,moderate,enabled,0.044,False,policy_engine,0.91
N00625,IAMPolicy,moderate,disabled,0.309,True,manual,0.03
N00626,WAF,legacy,disabled,0.017,False,manual,0.12
N00626,Logging,strict,enabled,0.167,False,policy_engine,0.1
N00627,Firewall,legacy,enabled,0.027,False,manual,0.45
N00628,CloudPolicy,moderate,enabled,0.111,False,manual,0.99
N00628,IAMPolicy,legacy,disabled,0.108,False,policy_engine,0.28
N00629,EDR,strict,disabled,0.213,False,auto,0.3
N00630,IAMPolicy,moderate,enabled,0.0,False,manual,0.57
N00631,IAMPolicy,legacy,disabled,0.095,False,manual,0.57
N00631,Logging,strict,disabled,0.312,True,auto,0.34
N00632,EDR,baseline,enabled,0.097,False,manual,0.44
N00632,Hardening,strict,enabled,0.003,False,auto,0.88
N00633,EDR,moderate,disabled,0.319,True,auto,0.2
N00634,WAF,baseline,enabled,0.131,False,auto,0.25
N00635,CloudPolicy,moderate,disabled,0.325,True,policy_engine,0.51
N00636,Hardening,moderate,partial,0.043,False,auto,0.11
N00637,WAF,strict,partial,0.211,False,auto,0.96
N00637,IAMPolicy,baseline,disabled,0.197,False,auto,0.22
N00638,Firewall,legacy,enabled,0.286,True,manual,0.25
N00638,IAMPolicy,moderate,partial,0.16,False,manual,0.85
N00639,NetworkIsolation,baseline,disabled,0.171,False,inherited,0.54
N00639,IAMPolicy,moderate,disabled,0.317,True,inherited,0.79
N00639,Logging,moderate,partial,0.123,False,inherited,0.18
N00640,WAF,baseline,enabled,0.06,False,inherited,0.96
N00640,Logging,legacy,partial,0.296,True,inherited,0.75
N00641,NetworkIsolation,moderate,partial,0.011,False,inherited,0.43
N00642,NetworkIsolation,baseline,disabled,0.296,True,policy_engine,0.13
N00642,EDR,strict,enabled,0.157,False,inherited,0.6
N00643,WAF,baseline,disabled,0.349,True,manual,0.76
N00644,EDR,strict,disabled,0.045,False,auto,0.57
N00644,Logging,baseline,partial,0.126,False,inherited,0.01
N00645,Firewall,strict,partial,0.177,False,policy_engine,0.1
N00645,CloudPolicy,baseline,disabled,0.181,False,auto,0.52
N00645,EDR,strict,disabled,0.269,True,auto,0.81
N00646,Firewall,baseline,partial,0.338,True,auto,0.61
N00647,CloudPolicy,moderate,enabled,0.232,False,manual,0.93
N00647,NetworkIsolation,legacy,enabled,0.252,True,policy_engine,0.34
N00647,Hardening,legacy,disabled,0.081,False,manual,0.06
N00648,Firewall,moderate,enabled,0.334,True,policy_engine,0.64
N00648,Firewall,baseline,partial,0.269,True,inherited,0.28
N00649,Logging,moderate,enabled,0.338,True,policy_engine,0.57
N00649,NetworkIsolation,moderate,enabled,0.132,False,policy_engine,0.76
N00650,WAF,strict,partial,0.151,False,policy_engine,0.49
N00650,IAMPolicy,strict,disabled,0.108,False,manual,0.21
N00651,IAMPolicy,moderate,disabled,0.161,False,policy_engine,0.09
N00651,NetworkIsolation,legacy,enabled,0.347,True,inherited,0.03
N00652,IAMPolicy,strict,disabled,0.209,False,auto,1.0
N00652,WAF,strict,partial,0.333,True,policy_engine,0.79
N00653,IAMPolicy,baseline,enabled,0.214,False,inherited,0.67
N00654,IAMPolicy,strict,partial,0.111,False,inherited,0.04
N00654,EDR,moderate,partial,0.142,False,auto,0.48
N00654,CloudPolicy,legacy,enabled,0.218,False,manual,0.64
N00655,CloudPolicy,strict,partial,0.062,False,manual,0.71
N00655,WAF,moderate,disabled,0.043,False,manual,0.03
N00656,CloudPolicy,legacy,enabled,0.143,False,policy_engine,0.66
N00657,Hardening,baseline,partial,0.347,True,inherited,0.59
N00657,EDR,legacy,disabled,0.207,False,inherited,0.13
N00658,EDR,baseline,partial,0.316,True,policy_engine,0.98
N00658,EDR,strict,enabled,0.255,True,inherited,0.99
N00659,IAMPolicy,legacy,partial,0.276,True,auto,0.05
N00659,Hardening,moderate,enabled,0.232,False,auto,0.41
N00660,CloudPolicy,strict,partial,0.177,False,manual,0.76
N00660,IAMPolicy,baseline,partial,0.287,True,auto,0.96
N00661,Firewall,strict,enabled,0.319,True,policy_engine,0.08
N00661,WAF,strict,enabled,0.154,False,auto,0.75
N00662,IAMPolicy,legacy,enabled,0.084,False,policy_engine,0.56
N00662,Firewall,legacy,partial,0.23,False,inherited,0.52
N00663,Hardening,moderate,partial,0.339,True,policy_engine,0.11
N00663,IAMPolicy,legacy,partial,0.23,False,policy_engine,0.92
N00663,Logging,baseline,enabled,0.115,False,auto,0.21
N00664,CloudPolicy,legacy,disabled,0.201,False,policy_engine,0.56
N00664,WAF,baseline,partial,0.118,False,policy_engine,0.98
N00665,IAMPolicy,legacy,enabled,0.045,False,auto,0.51
N00665,CloudPolicy,legacy,partial,0.121,False,inherited,0.25
N00666,Firewall,moderate,disabled,0.313,True,policy_engine,0.85
N00666,EDR,moderate,disabled,0.004,False,manual,0.61
N00667,Firewall,baseline,partial,0.292,True,manual,0.12
N00667,Hardening,legacy,partial,0.016,False,auto,0.29
N00668,NetworkIsolation,strict,enabled,0.202,False,policy_engine,0.37
N00668,WAF,legacy,disabled,0.224,False,policy_engine,0.12
N00668,CloudPolicy,strict,disabled,0.241,False,inherited,0.5
N00669,EDR,moderate,enabled,0.105,False,policy_engine,0.97
N00669,CloudPolicy,legacy,disabled,0.031,False,auto,0.2
N00670,Logging,moderate,partial,0.198,False,inherited,0.26
N00670,CloudPolicy,baseline,disabled,0.302,True,inherited,0.93
N00671,WAF,strict,disabled,0.162,False,policy_engine,0.01
N00671,EDR,baseline,disabled,0.08,False,inherited,0.99
N00672,EDR,strict,enabled,0.194,False,inherited,0.42
N00672,Firewall,moderate,enabled,0.033,False,auto,0.58
N00673,Logging,baseline,partial,0.258,True,auto,0.11
N00673,NetworkIsolation,strict,enabled,0.267,True,manual,0.01
N00674,IAMPolicy,moderate,enabled,0.05,False,auto,0.92
N00674,Firewall,legacy,enabled,0.272,True,auto,0.93
N00675,WAF,baseline,partial,0.08,False,auto,0.35
N00676,Hardening,moderate,partial,0.227,False,inherited,0.22
N00677,Hardening,moderate,partial,0.186,False,inherited,0.41
N00677,Logging,strict,enabled,0.055,False,manual,0.91
N00678,WAF,strict,disabled,0.271,True,manual,0.94
N00678,CloudPolicy,strict,partial,0.173,False,policy_engine,0.19
N00679,WAF,strict,disabled,0.233,False,inherited,0.16
N00680,CloudPolicy,baseline,enabled,0.007,False,auto,0.51
N00680,CloudPolicy,strict,disabled,0.173,False,inherited,0.06
N00680,NetworkIsolation,moderate,partial,0.125,False,policy_engine,0.59
N00681,IAMPolicy,moderate,enabled,0.18,False,policy_engine,0.3
N00681,EDR,baseline,disabled,0.292,True,manual,0.37
N00681,WAF,moderate,enabled,0.343,True,inherited,0.1
N00682,IAMPolicy,legacy,partial,0.269,True,manual,0.08
N00682,Hardening,legacy,partial,0.126,False,manual,0.11
N00683,NetworkIsolation,baseline,enabled,0.26,True,policy_engine,0.18
N00684,Logging,strict,disabled,0.048,False,auto,0.6
N00684,EDR,strict,disabled,0.296,True,auto,0.9
N00685,Firewall,moderate,disabled,0.182,False,manual,0.51
N00685,Firewall,baseline,enabled,0.14,False,auto,0.04
N00685,CloudPolicy,strict,disabled,0.003,False,auto,0.26
N00686,WAF,strict,enabled,0.206,False,inherited,0.76
N00686,EDR,strict,partial,0.247,False,manual,0.57
N00687,NetworkIsolation,strict,enabled,0.338,True,policy_engine,0.56
N00688,WAF,strict,disabled,0.034,False,auto,0.1
N00688,IAMPolicy,strict,enabled,0.011,False,manual,0.43
N00689,CloudPolicy,baseline,partial,0.3,True,policy_engine,0.22
N00689,Logging,legacy,partial,0.098,False,policy_engine,0.22
N00689,Firewall,moderate,enabled,0.206,False,auto,0.52
N00690,CloudPolicy,legacy,disabled,0.31,True,auto,0.05
N00690,WAF,legacy,enabled,0.152,False,auto,0.91
N00690,NetworkIsolation,strict,enabled,0.012,False,policy_engine,0.42
N00691,WAF,legacy,partial,0.204,False,auto,0.9
N00691,Hardening,moderate,partial,0.229,False,policy_engine,0.57
N00691,WAF,strict,partial,0.041,False,inherited,0.08
N00692,IAMPolicy,strict,partial,0.042,False,auto,0.36
N00692,WAF,legacy,partial,0.165,False,inherited,0.38
N00693,WAF,moderate,enabled,0.01,False,auto,0.61
N00693,WAF,strict,enabled,0.271,True,auto,0.75
N00694,Hardening,moderate,partial,0.006,False,auto,0.81
N00694,WAF,legacy,disabled,0.25,False,inherited,0.05
N00694,Hardening,baseline,enabled,0.062,False,auto,0.41
N00695,EDR,baseline,disabled,0.128,False,manual,0.96
N00695,IAMPolicy,moderate,disabled,0.218,False,inherited,0.76
N00696,NetworkIsolation,strict,enabled,0.094,False,policy_engine,0.24
N00696,WAF,moderate,enabled,0.069,False,inherited,0.43
N00697,CloudPolicy,moderate,partial,0.307,True,inherited,0.41
N00697,Firewall,strict,enabled,0.008,False,inherited,0.74
N00698,WAF,strict,disabled,0.299,True,manual,0.11
N00698,Hardening,moderate,disabled,0.254,True,auto,0.49
N00699,WAF,legacy,partial,0.135,False,inherited,0.81
N00700,NetworkIsolation,strict,partial,0.095,False,policy_engine,0.41
N00700,Firewall,baseline,disabled,0.165,False,manual,0.11
N00701,Hardening,legacy,enabled,0.329,True,manual,0.39
N00701,IAMPolicy,legacy,enabled,0.031,False,manual,0.91
N00702,EDR,moderate,disabled,0.083,False,manual,0.63
N00702,Logging,baseline,disabled,0.226,False,manual,0.03
N00702,IAMPolicy,legacy,enabled,0.119,False,inherited,0.06
N00703,Logging,baseline,disabled,0.32,True,inherited,0.58
N00703,Logging,legacy,disabled,0.054,False,inherited,0.91
N00703,Hardening,legacy,disabled,0.274,True,inherited,0.39
N00704,Firewall,strict,partial,0.017,False,policy_engine,0.27
N00704,Logging,moderate,enabled,0.25,False,inherited,0.87
N00704,Firewall,moderate,enabled,0.249,False,auto,0.85
N00705,IAMPolicy,strict,disabled,0.007,False,auto,0.3
N00705,EDR,baseline,disabled,0.164,False,policy_engine,0.26
N00706,CloudPolicy,strict,disabled,0.223,False,policy_engine,0.44
N00707,IAMPolicy,moderate,disabled,0.244,False,policy_engine,0.27
N00708,Hardening,strict,partial,0.114,False,manual,0.91
N00708,IAMPolicy,baseline,disabled,0.235,False,auto,0.78
N00709,Logging,baseline,enabled,0.302,True,policy_engine,0.91
N00709,Firewall,strict,disabled,0.172,False,inherited,0.81
N00709,Firewall,moderate,enabled,0.159,False,inherited,0.39
N00710,Logging,moderate,enabled,0.344,True,manual,0.0
N00710,NetworkIsolation,legacy,disabled,0.263,True,manual,0.74
N00711,CloudPolicy,strict,partial,0.237,False,manual,0.08
N00711,EDR,moderate,enabled,0.167,False,inherited,0.74
N00712,IAMPolicy,baseline,enabled,0.168,False,inherited,0.77
N00713,WAF,baseline,disabled,0.148,False,inherited,0.03
N00713,IAMPolicy,strict,enabled,0.179,False,policy_engine,0.51
N00714,EDR,moderate,partial,0.03,False,manual,0.65
N00714,Hardening,moderate,partial,0.059,False,policy_engine,0.42
